0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
22,11,10,28,3,6,12,28,16,4,13,10,14,4,3,20,7,17,17,15
9,20,3,9,6,11,18,22,27,6,13,8,32,6,6,25,2,12,12,13
11,10,7,12,11,10,13,32,20,9,12,6,14,13,3,29,11,16,10,11
15,8,5,30,8,12,15,21,17,6,10,5,17,9,6,19,10,18,17,12
9,10,4,17,18,7,10,18,31,14,11,5,16,5,19,24,5,15,12,10
23,11,4,21,3,22,20,19,18,8,14,7,20,7,9,11,5,10,16,12
9,14,6,17,7,27,34,25,14,3,11,9,10,7,8,16,9,11,15,8
11,7,10,6,7,7,11,61,14,6,6,21,15,11,8,16,10,12,12,9
12,17,6,16,11,3,7,17,32,5,32,7,17,3,12,22,6,14,7,14
8,6,11,21,4,10,19,26,18,11,12,13,15,10,5,21,19,12,11,8
9,14,5,16,6,5,11,11,34,0,26,9,16,7,7,21,8,24,11,20
14,7,10,16,5,6,17,62,18,7,5,15,12,8,3,18,9,8,11,9
16,11,8,12,9,7,10,27,13,6,8,8,55,3,4,27,10,14,7,5
11,13,7,10,5,10,23,29,14,12,14,18,18,13,8,17,10,15,7,6
4,16,8,9,15,9,15,24,19,6,14,8,22,3,18,31,9,9,5,16
7,2,7,11,9,3,10,32,7,4,7,12,28,11,4,76,5,7,9,9
11,7,8,18,11,16,6,38,16,10,11,14,12,8,6,19,9,10,15,15
8,10,12,34,9,6,10,17,29,3,19,11,12,4,7,10,8,25,11,15
6,12,13,23,8,13,15,15,18,10,11,7,15,6,4,23,7,19,21,14
8,9,9,28,9,9,10,18,18,11,16,6,22,5,8,11,6,23,11,23
