class_label,num_samples,accuracy
0,1300,0.26153846153846155
1,1300,0.08615384615384615
2,1300,0.025384615384615384
3,1300,0.12846153846153846
4,1300,0.25076923076923074
5,1300,0.12076923076923077
6,1300,0.08692307692307692
7,1300,0.15692307692307692
8,1300,0.11153846153846154
9,1300,0.026923076923076925
10,1300,0.2323076923076923
11,1300,0.08692307692307692
12,1300,0.1523076923076923
13,1300,0.09384615384615384
14,1300,0.057692307692307696
15,1300,0.39384615384615385
16,1300,0.03461538461538462
17,1300,0.17384615384615384
18,1300,0.026923076923076925
19,1300,0.02076923076923077
