class_label,true_count,pred_count,pred_fraction
0,1300,2998,0.1153076923076923
1,1300,869,0.03342307692307692
2,1300,357,0.01373076923076923
3,1300,1433,0.055115384615384615
4,1300,2683,0.1031923076923077
5,1300,1129,0.043423076923076925
6,1300,637,0.0245
7,1300,1685,0.0648076923076923
8,1300,1406,0.05407692307692308
9,1300,324,0.012461538461538461
10,1300,2834,0.109
11,1300,824,0.03169230769230769
12,1300,1197,0.046038461538461535
13,1300,1148,0.044153846153846155
14,1300,858,0.033
15,1300,2575,0.09903846153846153
16,1300,402,0.015461538461538462
17,1300,2035,0.07826923076923077
18,1300,282,0.010846153846153846
19,1300,324,0.012461538461538461
