class_label,true_count,pred_count,pred_fraction
0,260,223,0.04288461538461538
1,260,215,0.041346153846153845
2,260,153,0.029423076923076923
3,260,354,0.06807692307692308
4,260,164,0.031538461538461536
5,260,199,0.03826923076923077
6,260,286,0.055
7,260,542,0.10423076923076922
8,260,393,0.07557692307692308
9,260,141,0.027115384615384614
10,260,265,0.05096153846153846
11,260,199,0.03826923076923077
12,260,382,0.07346153846153847
13,260,143,0.0275
14,260,148,0.02846153846153846
15,260,456,0.0876923076923077
16,260,165,0.03173076923076923
17,260,291,0.05596153846153846
18,260,237,0.04557692307692308
19,260,244,0.04692307692307692
